Gesamtanzahl Artikel:	1806
Anzahl Artikel in Test:	903
Anzahl Artikel in Train:	903
Anteil von Test an gesamten Artikeln:	0.5
Gesamtanzahl Sätze:	2611
Anzahl Sätze in Test:	1303
Anzahl Sätze in Train:	1308
Anteil von Test an gesamten Sätzen:	0.499
Gesamtanzahl interactions:	5549
Anzahl Interaktionen in Test:	2769
Anzahl Interaktionen in Train:	2780
Anteil von Test an gesamten Interaktionen:	0.499
Gesamtes 0/1 Verhältnis:	0.8952
0/1 Verhältnis in Test:	0.8914
0/1 Verhältnis in Train:	0.8989
Verhältnis des 0/1 Verhältnis von Test und Train:	0.9916
