sentence	label	sentence-id
At 4 hours, losartan blocked 43% of the @PROTEIN$-induced systolic blood pressure increase; valsartan, 51%; and irbesartan, 88% (P<0.01 between drugs).X	1	10082498-5
At 4 hours, losartan blocked 43% of the @PROTEIN$-induced systolic blood pressure increase; valsartan, 51%; and irbesartan, 88% (P<0.01 between drugs).X	1	10082498-5
This study thus demonstrates that the first administration of the recommended starting dose of @COMPOUND$ induces a greater and longer lasting @PROTEIN$ blockade than that of valsartan and losartan in normotensive subjects.	1	10082498-9
This study thus demonstrates that the first administration of the recommended starting dose of irbesartan induces a greater and longer lasting @PROTEIN$ blockade than that of valsartan and losartan in normotensive subjects.	1	10082498-9
This study thus demonstrates that the first administration of the recommended starting dose of irbesartan induces a greater and longer lasting @PROTEIN$ blockade than that of valsartan and losartan in normotensive subjects.	1	10082498-9
@COMPOUND$ affected neither the rightward shift of @PROTEIN$-mediated responses nor the small rightward shift in beta 1-adrenoceptor-mediated exercise tachycardia after 2 weeks' administration of terbutaline.X	0	10226872-10
@COMPOUND$ affected neither the rightward shift of beta 2-adrenoceptor-mediated responses nor the small rightward shift in @PROTEIN$-mediated exercise tachycardia after 2 weeks' administration of terbutaline.X	0	10226872-10
In humans, prolonged administration of the @PROTEIN$ agonist terbutaline leads to a desensitization of beta 2-adrenoceptor-mediated cardiovascular responses, which can be blunted by concomitant administration of the antianaphylactic drug ketotifen.	1	10226872-1
beta 2-Adrenoceptor cardiovascular function was assessed by the increase in heart rate and reduction of diastolic blood pressure induced by an incremental intravenous infusion of the unselective @PROTEIN$ agonist isoprenaline; beta 1-adrenoceptor cardiovascular function was assessed by exercise-induced tachycardia	1	10226872-6
OBJECTIVES: This study examined the effect of a small-molecule, direct @PROTEIN$ inhibitor, argatroban, on reperfusion induced by tissue plasminogen activator (TPA) in patients with acute myocardial infarction (AMI).X	1	10362188-1
In vitro and in vivo studies have shown that @COMPOUND$ has advantages over heparin for the inhibition of clot-bound @PROTEIN$ and for the enhancement of thrombolysis with TPA.X	1	10362188-3
@COMPOUND$, EXP, and irbesartan caused a rightward parallel shift without any major effects on the maximal response to @PROTEIN$.X	0	10373224-6
Losartan, @COMPOUND$, and irbesartan caused a rightward parallel shift without any major effects on the maximal response to @PROTEIN$.X	0	10373224-6
Losartan, EXP, and @COMPOUND$ caused a rightward parallel shift without any major effects on the maximal response to @PROTEIN$.X	0	10373224-6
At clinically relevant concentrations, @COMPOUND$ is an insurmountable and long-lasting antagonist of the vascular contractile responses to @PROTEIN$.	1	10373224-13
In both vascular preparations, @COMPOUND$ caused a marked decrease in the maximal contractile response of the @PROTEIN$ (Ang II) concentration-response curve.X	1	10373224-5
In both vascular preparations, @COMPOUND$ caused a marked decrease in the maximal contractile response of the angiotensin II (@PROTEIN$) concentration-response curve.X	1	10373224-5
In addition, when @COMPOUND$ was given to conscious rats, the inhibitory effect on @PROTEIN$-induced blood pressure responses persisted during the 24-hour period despite nondetectable plasma concentrations of candesartan at 24 hours.X	1	10373224-11
The functional inhibitory characteristics of the @PROTEIN$ blockers (ARB) candesartan; irbesartan; and losartan and its active metabolite EXP 3174 (EXP) were studied in rabbit aortic strips and rat portal vein preparations in vitro.X	1	10373224-1
The functional inhibitory characteristics of the @PROTEIN$ blockers (ARB) candesartan; irbesartan; and losartan and its active metabolite EXP 3174 (EXP) were studied in rabbit aortic strips and rat portal vein preparations in vitro.	1	10373224-1
The functional inhibitory characteristics of the @PROTEIN$ blockers (ARB) candesartan; irbesartan; and losartan and its active metabolite EXP 3174 (EXP) were studied in rabbit aortic strips and rat portal vein preparations in vitro.X	1	10373224-1
