run	f1	recall	precision	specifity	runtime
DS-1	0.815	0.81	0.819	0.801	0h 42min 44sek
DS-10	0.835	0.882	0.792	0.742	0h 41min 44sek
DS-2	0.832	0.885	0.785	0.729	0h 42min 2sek
DS-3	0.823	0.841	0.806	0.774	0h 41min 37sek
DS-4	0.82	0.818	0.823	0.803	0h 41min 35sek
DS-5	0.794	0.791	0.797	0.775	0h 41min 53sek
DS-6	0.826	0.896	0.765	0.694	0h 41min 34sek
DS-7	0.827	0.847	0.809	0.777	0h 41min 53sek
DS-8	0.81	0.836	0.784	0.743	0h 41min 31sek
DS-9	0.84	0.899	0.787	0.73	0h 41min 37sek
Mittelwert	0.822	0.851	0.797	0.757	0h 41min 49sek
Standardabweichung:	0.013	0.038	0.018	0.035	0h 0min 22sek
